collectedAt,content_data_employeeCount,content_entityName,recordType,schemaVersion,source_name,source_url
2026-08-11T16:20:57.710633,6,Cedalio,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/cedalio
2026-08-11T16:20:57.710638,2,Roame,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/roame
2026-08-11T16:20:57.710643,20,Readily,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/readily
2026-08-11T16:20:57.710652,4,Sweep,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/sweep
2026-08-11T16:20:57.710658,12,Andromeda Surgical,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/andromeda-surgical
2026-08-11T16:20:57.710664,5,Bronco AI,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/bronco-ai
2026-08-11T16:20:57.710669,30,Outset,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/outset
2026-08-11T16:20:57.710674,75,Pump.co,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/pump-co
2026-08-11T16:20:57.710680,7,Concourse,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/concourse
2026-08-11T16:20:57.710685,3,MSPilot,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/mspilot
2026-08-11T16:20:57.710690,3,Haven,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/haven-2
2026-08-11T16:20:57.710695,3,zudo.work,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/zudowork
2026-08-11T16:20:57.710701,6,Flair Labs,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/flair-labs
2026-08-11T16:20:57.710706,2,Double – Coding Copilot,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/double-coding-copilot
2026-08-11T16:20:57.710714,25,Extend,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/extend
2026-08-11T16:20:57.710720,10,Boundary,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/boundary
2026-08-11T16:20:57.710725,20,Floworks,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/floworks
2026-08-11T16:20:57.710730,,KV Cash,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/kv-cash
2026-08-11T16:20:57.710735,3,Dream3D,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/dream3d
2026-08-11T16:20:57.710741,3,Corgi Labs,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/corgi-labs
2026-08-11T16:20:57.710746,8,Palomma,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/palomma
2026-08-11T16:20:57.710751,12,Variance,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/variance
2026-08-11T16:20:57.710757,1,Vaero,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/vaero
2026-08-11T16:20:57.710762,26,Yuma AI,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/yuma-ai
2026-08-11T16:20:57.710767,3,Versive,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/versive
2026-08-11T16:20:57.710772,8,ShortLoop,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/shortloop
2026-08-11T16:20:57.710778,5,Novelcare,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/novelcare
2026-08-11T16:20:57.710783,4,Vendora,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/vendora
2026-08-11T16:20:57.710788,4,Finic,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/finic
2026-08-11T16:20:57.710793,80,Warp,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/warp
2026-08-11T16:20:57.710799,2,Pair AI,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/pair-ai
2026-08-11T16:20:57.710804,4,Shortbread,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/shortbread
2026-08-11T16:20:57.710809,,Automat,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/automat
2026-08-11T16:20:57.710814,2,Backdrop,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/backdrop
